511273899.jpg, asian, 0.6144265079156463, indian, 4.79851505449504, black, 1.2136491738944752, white, 46.11885524504514, middle eastern, 25.399775826917637, dominant race, white, 
4404496.jpg, asian, 99.7616171836853, indian, 0.030107272323220968, black, 0.00013212256817496382, white, 0.032212777296081185, middle eastern, 0.000123573431665136, dominant race, asian, 
558161830.jpg, asian, 7.1386445843365545, indian, 5.065734613879598, black, 0.34220921518410535, white, 42.24205268872098, middle eastern, 15.634233691348653, dominant race, white, 
11707762.jpg, asian, 0.4201919270823089, indian, 4.681531899388802, black, 94.68756381421521, white, 0.0011277076302477376, middle eastern, 0.0007542993454376085, dominant race, black, 
543675401.jpg, asian, 0.0037798512494191527, indian, 0.001780092679837253, black, 2.996522709963756e-05, white, 96.78053855895996, middle eastern, 0.5751505494117737, dominant race, white, 
11705119.jpg, asian, 0.00673627873766236, indian, 0.03837473341263831, black, 0.029503752011805773, white, 93.98928880691528, middle eastern, 4.054675996303558, dominant race, white, 
562095377.jpg, asian, 0.01729895096340615, indian, 0.000830591844653705, black, 1.1456582937728636e-05, white, 99.3186832286497, middle eastern, 0.336022774678734, dominant race, white, 
527706240.jpg, asian, 6.183422356843948, indian, 1.0532228276133537, black, 90.94331860542297, white, 0.06421030848287046, middle eastern, 0.03311248729005456, dominant race, black, 
27406134.jpg, asian, 0.49871894173694353, indian, 0.8652891863537805, black, 0.036801888178436375, white, 66.40615863726632, middle eastern, 14.447904891025438, dominant race, white, 
565006344.jpg, asian, 25.65524432988431, indian, 15.203688454847839, black, 6.5584015285016015, white, 8.653595069265071, middle eastern, 5.699491840570679, dominant race, latino hispanic, 
508005353.jpg, asian, 2.529565989971161, indian, 2.2997913882136345, black, 0.35703994799405336, white, 56.41744136810303, middle eastern, 21.857544779777527, dominant race, white, 
16602816.jpg, asian, 6.46834596991539, indian, 0.9613494388759136, black, 0.2828864613547921, white, 76.2994110584259, middle eastern, 8.494213223457336, dominant race, white, 
824820.jpg, asian, 0.731784195484769, indian, 4.106895497852295, black, 0.434477979137181, white, 46.68938795860934, middle eastern, 29.8637884774082, dominant race, white, 
567103184.jpg, asian, 75.28281211853027, indian, 6.716039031744003, black, 0.5893155932426453, white, 2.3944880813360214, middle eastern, 0.154984463006258, dominant race, asian, 
36816731.jpg, asian, 0.646410183981061, indian, 18.121279776096344, black, 32.38248527050018, white, 21.31827175617218, middle eastern, 15.186154842376709, dominant race, black, 
508608984.jpg, asian, 0.05434042541310191, indian, 2.4865375831723213, black, 0.10099099017679691, white, 57.36951231956482, middle eastern, 23.48994016647339, dominant race, white, 
500013073.jpg, asian, 2.0474179936896557, indian, 3.832662706533832, black, 0.28395323843975295, white, 42.1935702677709, middle eastern, 28.76255087629264, dominant race, white, 
561831859.jpg, asian, 0.14485252021864178, indian, 0.11852299336853583, black, 0.004423810505539991, white, 82.78374569319163, middle eastern, 7.789134698458594, dominant race, white, 
4601336.jpg, asian, 11.089833825826645, indian, 5.148889869451523, black, 4.105347767472267, white, 39.18086290359497, middle eastern, 16.7156919836998, dominant race, white, 
510573709.jpg, asian, 0.0001898154322402555, indian, 0.0007423173404249777, black, 5.2867789342587355e-06, white, 98.79111037148361, middle eastern, 0.6328590503017962, dominant race, white, 
502470262.jpg, asian, 0.0010912721854445155, indian, 9.478718545874837e-05, black, 2.3596970451283494e-06, white, 99.34086807479046, middle eastern, 0.05417155271027354, dominant race, white, 
511196245.jpg, asian, 2.7368472353592014e-05, indian, 0.00011223534303181703, black, 1.9735417876669946e-07, white, 99.56321711101737, middle eastern, 0.3659140289174353, dominant race, white, 
506653414.jpg, asian, 4.472398012876511, indian, 3.1832262873649597, black, 1.024801004678011, white, 41.145071387290955, middle eastern, 19.247080385684967, dominant race, white, 
517173798.jpg, asian, 8.985008834898998, indian, 9.702194315325874, black, 1.7406222516669185, white, 30.281804816830444, middle eastern, 19.05302220898999, dominant race, white, 
3422672.jpg, asian, 2.680964741466328, indian, 3.0875075586144662, black, 0.430396085181599, white, 45.8354887864285, middle eastern, 22.31163664529542, dominant race, white, 
2524286.jpg, asian, 1.573689178968607e-07, indian, 1.94507854267556e-07, black, 1.7564059581753888e-09, white, 99.9752938747406, middle eastern, 0.009011321526486427, dominant race, white, 
555088779.jpg, asian, 34.918154468316374, indian, 7.025020661952574, black, 4.157813016511562, white, 20.649218040611512, middle eastern, 12.058716959800357, dominant race, asian, 
570086572.jpg, asian, 1.6489911824464798, indian, 3.4094784408807755, black, 0.3769725561141968, white, 64.00150656700134, middle eastern, 15.01704603433609, dominant race, white, 
500295418.jpg, asian, 0.07744762697257102, indian, 0.08707080851309001, black, 0.003361243216204457, white, 90.31643867492676, middle eastern, 7.6912857592105865, dominant race, white, 
12455406.jpg, asian, 37.32661827365269, indian, 2.483619711316807, black, 0.4062185771744595, white, 38.255500093430285, middle eastern, 6.595381742440566, dominant race, white, 
565511633.jpg, asian, 63.64073915967216, indian, 2.959171104034317, black, 3.8933941147797246, white, 3.67054610497309, middle eastern, 0.24416701053583748, dominant race, asian, 
36100209.jpg, asian, 2.5284457596210097, indian, 5.61628114380128, black, 0.95478255404726, white, 40.2131462224213, middle eastern, 31.04157930860396, dominant race, white, 
8002052.jpg, asian, 5.462181568145752, indian, 5.959685146808624, black, 22.78907597064972, white, 18.259607255458832, middle eastern, 21.51833474636078, dominant race, latino hispanic, 
61006086.jpg, asian, 5.512867867946625, indian, 1.4963552530389279e-05, black, 1.4736109221757943e-06, white, 94.36365365982056, middle eastern, 0.014930004545021802, dominant race, white, 
520550883.jpg, asian, 21.242694556713104, indian, 3.0398299917578697, black, 2.165532112121582, white, 35.65690517425537, middle eastern, 11.217766255140305, dominant race, white, 
